"site","year","type","abund_code","species_code","name"
1694,1992,"tree",2,375.00,"Paper Birch"
1694,1993,"tree",2,12.00,"Balsam Fir"
1694,1994,"tree",2,746.00,"Quaking Aspen"
1695,1992,"tree",2,12.00,"Balsam Fir"
1695,1993,"tree",2,12.00,"Balsam Fir"
1695,1994,"tree",2,12.00,"Balsam Fir"
1696,1992,"tree",2,375.00,"Paper Birch"
1696,1993,"tree",2,375.00,"Paper Birch"
1696,1994,"tree",2,375.00,"Paper Birch"
1697,1992,"tree",2,375.00,"Paper Birch"
1697,1993,"tree",2,833.00,"Northern Red Oak"
1697,1994,"tree",2,318.00,"Sugar Maple"
1698,1992,"tree",2,543.00,"Black Ash"
1698,1993,"tree",2,543.00,"Black Ash"
1698,1994,"tree",2,543.00,"Black Ash"
1699,1992,"tree",2,375.00,"Paper Birch"
1699,1993,"tree",2,375.00,"Paper Birch"
1699,1994,"tree",2,375.00,"Paper Birch"
1901,1995,"tree",2,951.00,"Basswood"
1901,1996,"tree",2,951.00,"Basswood"
1901,1997,"tree",2,970.00,"Elm"
1902,1995,"tree",2,951.00,"Basswood"
1902,1996,"tree",2,951.00,"Basswood"
1902,1997,"tree",2,970.00,"Elm"
1903,1995,"tree",2,742.00,"Eastern cottonwood"
1903,1996,"tree",2,318.00,"Sugar Maple"
1903,1997,"tree",2,400.00,"Hickory spp."
1904,1995,"tree",2,746.00,"Quaking Aspen"
1904,1996,"tree",2,318.00,"Sugar Maple"
1904,1997,"tree",2,318.00,"Sugar Maple"
1905,1995,"tree",2,951.00,"Basswood"
1905,1996,"tree",2,951.00,"Basswood"
1905,1997,"tree",2,970.00,"Elm"
1906,1995,"tree",2,802.00,"White Oak"
1906,1996,"tree",2,833.00,"Northern Red Oak"
1906,1997,"tree",2,951.00,"Basswood"
1907,1995,"tree",2,951.00,"Basswood"
1907,1996,"tree",2,833.00,"Northern Red Oak"
1907,1997,"tree",2,743.00,"Bigtooth Aspen"
1908,1995,"tree",2,746.00,"Quaking Aspen"
1908,1996,"tree",2,746.00,"Quaking Aspen"
1908,1997,"tree",2,970.00,"Elm"
1909,1995,"tree",2,802.00,"White Oak"
1909,1996,"tree",2,400.00,"Hickory spp."
1909,1997,"tree",2,544.00,"Green Ash"
1910,1995,"tree",2,951.00,"Basswood"
1910,1996,"tree",2,701.00,"Ironwood, Hop-Hornbeam"
1910,1997,"tree",2,544.00,"Green Ash"
1911,1995,"tree",2,762.00,"Black Cherry"
1911,1996,"tree",2,970.00,"Elm"
1911,1997,"tree",2,951.00,"Basswood"
1912,1995,"tree",2,544.00,"Green Ash"
1912,1996,"tree",2,313.00,"Box Elder"
1912,1997,"tree",2,543.00,"Black Ash"
1913,1995,"tree",2,833.00,"Northern Red Oak"
1913,1996,"tree",2,951.00,"Basswood"
1913,1997,"tree",2,802.00,"White Oak"
1914,1995,"tree",2,951.00,"Basswood"
1914,1996,"tree",2,833.00,"Northern Red Oak"
1914,1997,"tree",2,833.00,"Northern Red Oak"
1915,1995,"tree",2,802.00,"White Oak"
1915,1996,"tree",2,970.00,"Elm"
1915,1997,"tree",2,746.00,"Quaking Aspen"
1916,1995,"tree",2,833.00,"Northern Red Oak"
1916,1996,"tree",2,970.00,"Elm"
1916,1997,"tree",2,970.00,"Elm"
1917,1995,"tree",2,544.00,"Green Ash"
1917,1996,"tree",2,402.00,"Bitternut Hickory"
1917,1997,"tree",2,970.00,"Elm"
1918,1995,"tree",2,375.00,"Paper Birch"
1918,1996,"tree",2,375.00,"Paper Birch"
1918,1997,"tree",2,375.00,"Paper Birch"
1919,1995,"tree",2,951.00,"Basswood"
1919,1996,"tree",2,746.00,"Quaking Aspen"
1919,1997,"tree",2,833.00,"Northern Red Oak"
1920,1995,"tree",2,541.00,"White Ash"
1920,1996,"tree",2,402.00,"Bitternut Hickory"
1920,1997,"tree",2,970.00,"Elm"
1921,1995,"tree",2,375.00,"Paper Birch"
1921,1996,"tree",2,402.00,"Bitternut Hickory"
1921,1997,"tree",2,802.00,"White Oak"
1922,1995,"tree",2,951.00,"Basswood"
1922,1996,"tree",2,318.00,"Sugar Maple"
1922,1997,"tree",2,951.00,"Basswood"
1923,1995,"tree",2,833.00,"Northern Red Oak"
1923,1996,"tree",2,833.00,"Northern Red Oak"
1923,1997,"tree",2,544.00,"Green Ash"
1924,1995,"tree",2,951.00,"Basswood"
1924,1996,"tree",2,701.00,"Ironwood, Hop-Hornbeam"
1924,1997,"tree",2,701.00,"Ironwood, Hop-Hornbeam"
1925,1995,"tree",2,951.00,"Basswood"
1925,1996,"tree",2,978.00,"Slippery Elm"
1925,1997,"tree",2,970.00,"Elm"
1926,1995,"tree",2,313.00,"Box Elder"
1926,1996,"tree",2,313.00,"Box Elder"
1926,1997,"tree",2,313.00,"Box Elder"
1927,1995,"tree",2,972.00,"American Elm"
1927,1996,"tree",2,970.00,"Elm"
1927,1997,"tree",2,970.00,"Elm"
1928,1995,"tree",2,318.00,"Sugar Maple"
1928,1996,"tree",2,318.00,"Sugar Maple"
1928,1997,"tree",2,318.00,"Sugar Maple"
1929,1995,"tree",2,460.00,"Hackberry"
1929,1996,"tree",2,317.00,"Silver Maple"
1929,1997,"tree",2,460.00,"Hackberry"
1930,1995,"tree",2,972.00,"American Elm"
1930,1996,"tree",2,951.00,"Basswood"
1930,1997,"tree",2,951.00,"Basswood"
1931,1995,"tree",2,802.00,"White Oak"
1931,1996,"tree",2,802.00,"White Oak"
1931,1997,"tree",2,802.00,"White Oak"
1932,1995,"tree",2,544.00,"Green Ash"
1932,1996,"tree",2,317.00,"Silver Maple"
1932,1997,"tree",2,920.00,"Willow"
1933,1995,"tree",2,313.00,"Box Elder"
1933,1996,"tree",2,972.00,"American Elm"
1933,1997,"tree",2,920.00,"Willow"
1934,1995,"tree",2,544.00,"Green Ash"
1934,1996,"tree",2,402.00,"Bitternut Hickory"
1934,1997,"tree",2,400.00,"Hickory spp."
1935,1995,"tree",2,802.00,"White Oak"
1935,1996,"tree",2,402.00,"Bitternut Hickory"
1935,1997,"tree",2,762.00,"Black Cherry"
1936,1995,"tree",2,951.00,"Basswood"
1936,1996,"tree",2,951.00,"Basswood"
1936,1997,"tree",2,833.00,"Northern Red Oak"
1937,1995,"tree",2,972.00,"American Elm"
1937,1996,"tree",2,375.00,"Paper Birch"
1937,1997,"tree",2,970.00,"Elm"
1938,1995,"tree",2,743.00,"Bigtooth Aspen"
1938,1996,"tree",2,970.00,"Elm"
1938,1997,"tree",2,970.00,"Elm"
1939,1995,"tree",2,833.00,"Northern Red Oak"
1939,1996,"tree",2,802.00,"White Oak"
1939,1997,"tree",2,802.00,"White Oak"
1940,1995,"tree",2,823.00,"Burr Oak"
1940,1996,"tree",2,802.00,"White Oak"
1940,1997,"tree",2,802.00,"White Oak"
1941,1995,"tree",2,833.00,"Northern Red Oak"
1941,1996,"tree",2,951.00,"Basswood"
1941,1997,"tree",2,951.00,"Basswood"
1942,1995,"tree",2,544.00,"Green Ash"
1942,1996,"tree",2,802.00,"White Oak"
1942,1997,"tree",2,802.00,"White Oak"
1943,1995,"tree",2,833.00,"Northern Red Oak"
1943,1996,"tree",2,951.00,"Basswood"
1943,1997,"tree",2,833.00,"Northern Red Oak"
1944,1995,"tree",2,742.00,"Eastern cottonwood"
1944,1996,"tree",2,823.00,"Burr Oak"
1944,1997,"tree",2,970.00,"Elm"
1945,1995,"tree",2,746.00,"Quaking Aspen"
1945,1996,"tree",2,970.00,"Elm"
1945,1997,"tree",2,970.00,"Elm"
1946,1995,"tree",2,375.00,"Paper Birch"
1946,1996,"tree",2,762.00,"Black Cherry"
1946,1997,"tree",2,833.00,"Northern Red Oak"
1947,1995,"tree",2,375.00,"Paper Birch"
1947,1996,"tree",2,375.00,"Paper Birch"
1947,1997,"tree",2,970.00,"Elm"
1948,1995,"tree",2,375.00,"Paper Birch"
1948,1996,"tree",2,833.00,"Northern Red Oak"
1948,1997,"tree",2,970.00,"Elm"
1949,1995,"tree",2,802.00,"White Oak"
1949,1996,"tree",2,951.00,"Basswood"
1949,1997,"tree",2,970.00,"Elm"
1950,1995,"tree",2,972.00,"American Elm"
1950,1996,"tree",2,978.00,"Slippery Elm"
1950,1997,"tree",2,951.00,"Basswood"
1951,1995,"tree",2,833.00,"Northern Red Oak"
1951,1996,"tree",2,978.00,"Slippery Elm"
1951,1997,"tree",2,970.00,"Elm"
1952,1995,"tree",2,743.00,"Bigtooth Aspen"
1952,1996,"tree",2,375.00,"Paper Birch"
1952,1997,"tree",2,970.00,"Elm"
1953,1995,"tree",2,746.00,"Quaking Aspen"
1953,1996,"tree",2,746.00,"Quaking Aspen"
1953,1997,"tree",2,746.00,"Quaking Aspen"
1954,1995,"tree",2,743.00,"Bigtooth Aspen"
1954,1996,"tree",2,375.00,"Paper Birch"
1954,1997,"tree",2,970.00,"Elm"
1955,1995,"tree",2,951.00,"Basswood"
1955,1996,"tree",2,951.00,"Basswood"
1955,1997,"tree",2,951.00,"Basswood"
1957,1995,"tree",2,833.00,"Northern Red Oak"
1957,1996,"tree",2,802.00,"White Oak"
1957,1997,"tree",2,802.00,"White Oak"
1958,1995,"tree",2,833.00,"Northern Red Oak"
1958,1996,"tree",2,746.00,"Quaking Aspen"
1958,1997,"tree",2,746.00,"Quaking Aspen"
1959,1995,"tree",2,375.00,"Paper Birch"
1959,1996,"tree",2,313.00,"Box Elder"
1959,1997,"tree",2,970.00,"Elm"
1960,1995,"tree",2,823.00,"Burr Oak"
1960,1996,"tree",2,970.00,"Elm"
1960,1997,"tree",2,400.00,"Hickory spp."
1961,1995,"tree",2,317.00,"Silver Maple"
1961,1996,"tree",2,317.00,"Silver Maple"
1961,1997,"tree",2,313.00,"Box Elder"
1962,1995,"tree",2,460.00,"Hackberry"
1962,1996,"tree",2,544.00,"Green Ash"
1962,1997,"tree",2,460.00,"Hackberry"
1963,1995,"tree",2,318.00,"Sugar Maple"
1963,1996,"tree",2,951.00,"Basswood"
1963,1997,"tree",2,970.00,"Elm"
1964,1995,"tree",2,802.00,"White Oak"
1964,1996,"tree",2,746.00,"Quaking Aspen"
1964,1997,"tree",2,802.00,"White Oak"
1965,1996,"tree",2,407.00,"Shagbark Hickory"
1965,1997,"tree",2,400.00,"Hickory spp."
1966,1997,"tree",2,951.00,"Basswood"
1967,1995,"tree",2,544.00,"Green Ash"
1967,1996,"tree",2,544.00,"Green Ash"
1967,1997,"tree",2,602.00,"Black walnut"
1968,1995,"tree",2,544.00,"Green Ash"
1968,1996,"tree",2,951.00,"Basswood"
1968,1997,"tree",2,951.00,"Basswood"
1969,1995,"tree",2,833.00,"Northern Red Oak"
1969,1996,"tree",2,833.00,"Northern Red Oak"
1969,1997,"tree",2,970.00,"Elm"
1970,1995,"tree",2,400.00,"Hickory spp."
1970,1996,"tree",2,762.00,"Black Cherry"
1970,1997,"tree",2,970.00,"Elm"
1971,1995,"tree",2,400.00,"Hickory spp."
1971,1996,"tree",2,830.00,"Pin Oak"
1971,1997,"tree",2,970.00,"Elm"
1972,1995,"tree",2,972.00,"American Elm"
1972,1996,"tree",2,978.00,"Slippery Elm"
1972,1997,"tree",2,970.00,"Elm"
1973,1995,"tree",2,544.00,"Green Ash"
1976,1995,"tree",2,544.00,"Green Ash"
1976,1996,"tree",2,701.00,"Ironwood, Hop-Hornbeam"
1976,1997,"tree",2,802.00,"White Oak"
1977,1995,"tree",2,823.00,"Burr Oak"
1977,1996,"tree",2,833.00,"Northern Red Oak"
1977,1997,"tree",2,802.00,"White Oak"
1978,1995,"tree",2,951.00,"Basswood"
1978,1996,"tree",2,833.00,"Northern Red Oak"
1978,1997,"tree",2,833.00,"Northern Red Oak"
1979,1995,"tree",2,742.00,"Eastern cottonwood"
1979,1996,"tree",2,978.00,"Slippery Elm"
1979,1997,"tree",2,313.00,"Box Elder"
1980,1996,"tree",2,833.00,"Northern Red Oak"
1980,1997,"tree",2,823.00,"Burr Oak"
1981,1996,"tree",2,802.00,"White Oak"
1981,1997,"tree",2,701.00,"Ironwood, Hop-Hornbeam"
1982,1996,"tree",2,833.00,"Northern Red Oak"
1982,1997,"tree",2,802.00,"White Oak"
1983,1996,"tree",2,407.00,"Shagbark Hickory"
1983,1997,"tree",2,400.00,"Hickory spp."
1984,1996,"tree",2,970.00,"Elm"
1984,1997,"tree",2,809.00,"Northern Pin Oak"
1985,1996,"tree",2,400.00,"Hickory spp."
1985,1997,"tree",2,544.00,"Green Ash"
1986,1996,"tree",2,802.00,"White Oak"
1986,1997,"tree",2,809.00,"Northern Pin Oak"
1987,1996,"tree",2,970.00,"Elm"
1987,1997,"tree",2,970.00,"Elm"
1988,1996,"tree",2,970.00,"Elm"
1988,1997,"tree",2,970.00,"Elm"
1989,1996,"tree",2,970.00,"Elm"
1989,1997,"tree",2,313.00,"Box Elder"
1990,1996,"tree",2,400.00,"Hickory spp."
1990,1997,"tree",2,400.00,"Hickory spp."
1991,1996,"tree",2,970.00,"Elm"
1991,1997,"tree",2,951.00,"Basswood"
1992,1996,"tree",2,701.00,"Ironwood, Hop-Hornbeam"
1992,1997,"tree",2,970.00,"Elm"
1993,1996,"tree",2,833.00,"Northern Red Oak"
1993,1997,"tree",2,833.00,"Northern Red Oak"
1994,1996,"tree",2,802.00,"White Oak"
1994,1997,"tree",2,970.00,"Elm"
1995,1996,"tree",2,970.00,"Elm"
1995,1997,"tree",2,802.00,"White Oak"
1996,1996,"tree",2,316.00,"Red Maple"
1996,1997,"tree",2,318.00,"Sugar Maple"
1997,1996,"tree",2,544.00,"Green Ash"
1997,1997,"tree",2,802.00,"White Oak"
1998,1996,"tree",2,970.00,"Elm"
1998,1997,"tree",2,318.00,"Sugar Maple"
1999,1996,"tree",2,318.00,"Sugar Maple"
1999,1997,"tree",2,318.00,"Sugar Maple"
2000,1996,"tree",2,833.00,"Northern Red Oak"
2000,1997,"tree",2,833.00,"Northern Red Oak"
2001,1996,"tree",2,920.00,"Willow"
2001,1997,"tree",2,313.00,"Box Elder"
2002,1996,"tree",2,823.00,"Burr Oak"
2002,1997,"tree",2,400.00,"Hickory spp."
2003,1996,"tree",2,746.00,"Quaking Aspen"
2003,1997,"tree",2,823.00,"Burr Oak"
2004,1997,"tree",2,823.00,"Burr Oak"
2005,1996,"tree",2,375.00,"Paper Birch"
2005,1997,"tree",2,970.00,"Elm"
2006,1996,"tree",2,970.00,"Elm"
2006,1997,"tree",2,802.00,"White Oak"
2007,1996,"tree",2,701.00,"Ironwood, Hop-Hornbeam"
2007,1997,"tree",2,833.00,"Northern Red Oak"
2008,1996,"tree",2,833.00,"Northern Red Oak"
2008,1997,"tree",2,544.00,"Green Ash"
2009,1996,"tree",2,970.00,"Elm"
2009,1997,"tree",2,318.00,"Sugar Maple"
2010,1996,"tree",2,316.00,"Red Maple"
2010,1997,"tree",2,460.00,"Hackberry"
2011,1996,"tree",2,837.00,"Black Oak"
2011,1997,"tree",2,970.00,"Elm"
2012,1996,"tree",2,833.00,"Northern Red Oak"
2012,1997,"tree",2,802.00,"White Oak"
2013,1996,"tree",2,746.00,"Quaking Aspen"
2013,1997,"tree",2,746.00,"Quaking Aspen"
2014,1996,"tree",2,802.00,"White Oak"
2014,1997,"tree",2,833.00,"Northern Red Oak"
2015,1996,"tree",2,823.00,"Burr Oak"
2015,1997,"tree",2,802.00,"White Oak"
2016,1996,"tree",2,833.00,"Northern Red Oak"
2016,1997,"tree",2,318.00,"Sugar Maple"
2017,1996,"tree",2,833.00,"Northern Red Oak"
2017,1997,"tree",2,802.00,"White Oak"
2018,1996,"tree",2,701.00,"Ironwood, Hop-Hornbeam"
2018,1997,"tree",2,833.00,"Northern Red Oak"
2019,1996,"tree",2,833.00,"Northern Red Oak"
2019,1997,"tree",2,833.00,"Northern Red Oak"
2020,1996,"tree",2,823.00,"Burr Oak"
2020,1997,"tree",2,544.00,"Green Ash"
2021,1996,"tree",2,375.00,"Paper Birch"
2021,1997,"tree",2,802.00,"White Oak"
2022,1996,"tree",2,701.00,"Ironwood, Hop-Hornbeam"
2022,1997,"tree",2,970.00,"Elm"
2023,1996,"tree",2,701.00,"Ironwood, Hop-Hornbeam"
2023,1997,"tree",2,970.00,"Elm"
2024,1996,"tree",2,318.00,"Sugar Maple"
2024,1997,"tree",2,318.00,"Sugar Maple"
2025,1996,"tree",2,460.00,"Hackberry"
2025,1997,"tree",2,970.00,"Elm"
2026,1996,"tree",2,318.00,"Sugar Maple"
2026,1997,"tree",2,802.00,"White Oak"
2027,1996,"tree",2,970.00,"Elm"
2027,1997,"tree",2,951.00,"Basswood"
2028,1996,"tree",2,802.00,"White Oak"
2028,1997,"tree",2,823.00,"Burr Oak"
2029,1996,"tree",2,951.00,"Basswood"
2029,1997,"tree",2,823.00,"Burr Oak"
2030,1996,"tree",2,313.00,"Box Elder"
2030,1997,"tree",2,543.00,"Black Ash"
2031,1996,"tree",2,701.00,"Ironwood, Hop-Hornbeam"
2031,1997,"tree",2,970.00,"Elm"
2032,1996,"tree",2,313.00,"Box Elder"
2032,1997,"tree",2,951.00,"Basswood"
2033,1996,"tree",2,833.00,"Northern Red Oak"
2033,1997,"tree",2,802.00,"White Oak"
2034,1996,"tree",2,400.00,"Hickory spp."
2034,1997,"tree",2,544.00,"Green Ash"
2035,1996,"tree",2,400.00,"Hickory spp."
2035,1997,"tree",2,318.00,"Sugar Maple"
2036,1996,"tree",2,543.00,"Black Ash"
2036,1997,"tree",2,318.00,"Sugar Maple"
2037,1996,"tree",2,833.00,"Northern Red Oak"
2037,1997,"tree",2,951.00,"Basswood"
2038,1996,"tree",2,833.00,"Northern Red Oak"
2038,1997,"tree",2,970.00,"Elm"
2039,1996,"tree",2,313.00,"Box Elder"
2039,1997,"tree",2,970.00,"Elm"
2040,1996,"tree",2,833.00,"Northern Red Oak"
2040,1997,"tree",2,544.00,"Green Ash"
2041,1996,"tree",2,951.00,"Basswood"
2041,1997,"tree",2,951.00,"Basswood"
2042,1996,"tree",2,833.00,"Northern Red Oak"
2042,1997,"tree",2,544.00,"Green Ash"
2043,1996,"tree",2,951.00,"Basswood"
2043,1997,"tree",2,544.00,"Green Ash"
2044,1996,"tree",2,833.00,"Northern Red Oak"
2044,1997,"tree",2,318.00,"Sugar Maple"
2045,1996,"tree",2,318.00,"Sugar Maple"
2045,1997,"tree",2,951.00,"Basswood"
2046,1996,"tree",2,978.00,"Slippery Elm"
2046,1997,"tree",2,602.00,"Black walnut"
2047,1996,"tree",2,375.00,"Paper Birch"
2047,1997,"tree",2,375.00,"Paper Birch"
2048,1996,"tree",2,402.00,"Bitternut Hickory"
2048,1997,"tree",2,318.00,"Sugar Maple"
2049,1996,"tree",2,701.00,"Ironwood, Hop-Hornbeam"
2049,1997,"tree",2,802.00,"White Oak"
2050,1996,"tree",2,978.00,"Slippery Elm"
2050,1997,"tree",2,970.00,"Elm"
2051,1996,"tree",2,833.00,"Northern Red Oak"
2051,1997,"tree",2,261.00,"Hemlock"
2052,1996,"tree",2,318.00,"Sugar Maple"
2052,1997,"tree",2,802.00,"White Oak"
2053,1996,"tree",2,400.00,"Hickory spp."
2053,1997,"tree",2,802.00,"White Oak"
2054,1996,"tree",2,970.00,"Elm"
2054,1997,"tree",2,970.00,"Elm"
2055,1996,"tree",2,970.00,"Elm"
2055,1997,"tree",2,802.00,"White Oak"
2057,1996,"tree",2,313.00,"Box Elder"
2057,1997,"tree",2,544.00,"Green Ash"
2058,1996,"tree",2,313.00,"Box Elder"
2058,1997,"tree",2,970.00,"Elm"
2059,1996,"tree",2,970.00,"Elm"
2059,1997,"tree",2,970.00,"Elm"
2060,1996,"tree",2,802.00,"White Oak"
2060,1997,"tree",2,802.00,"White Oak"
2061,1996,"tree",2,823.00,"Burr Oak"
2061,1997,"tree",2,951.00,"Basswood"
2062,1996,"tree",2,544.00,"Green Ash"
2062,1997,"tree",2,970.00,"Elm"
2063,1996,"tree",2,375.00,"Paper Birch"
2063,1997,"tree",2,951.00,"Basswood"
2064,1996,"tree",2,375.00,"Paper Birch"
2064,1997,"tree",2,970.00,"Elm"
2065,1996,"tree",2,970.00,"Elm"
2065,1997,"tree",2,970.00,"Elm"
2066,1996,"tree",2,313.00,"Box Elder"
2066,1997,"tree",2,313.00,"Box Elder"
2067,1996,"tree",2,313.00,"Box Elder"
2067,1997,"tree",2,313.00,"Box Elder"
2068,1996,"tree",2,920.00,"Willow"
2068,1997,"tree",2,317.00,"Silver Maple"
2069,1996,"tree",2,68.00,"Eastern Red Cedar"
2069,1997,"tree",2,951.00,"Basswood"
2070,1996,"tree",2,920.00,"Willow"
2070,1997,"tree",2,920.00,"Willow"
2071,1996,"tree",2,802.00,"White Oak"
2071,1997,"tree",2,318.00,"Sugar Maple"
2072,1996,"tree",2,318.00,"Sugar Maple"
2072,1997,"tree",2,318.00,"Sugar Maple"
2073,1996,"tree",2,833.00,"Northern Red Oak"
2073,1997,"tree",2,833.00,"Northern Red Oak"
2074,1996,"tree",2,313.00,"Box Elder"
2074,1997,"tree",2,920.00,"Willow"
2075,1996,"tree",2,802.00,"White Oak"
2075,1997,"tree",2,802.00,"White Oak"
2076,1996,"tree",2,407.00,"Shagbark Hickory"
2076,1997,"tree",2,802.00,"White Oak"
2077,1996,"tree",2,802.00,"White Oak"
2077,1997,"tree",2,833.00,"Northern Red Oak"
2078,1996,"tree",2,407.00,"Shagbark Hickory"
2078,1997,"tree",2,802.00,"White Oak"
2079,1996,"tree",2,802.00,"White Oak"
2079,1997,"tree",2,400.00,"Hickory spp."
2080,1996,"tree",2,833.00,"Northern Red Oak"
2080,1997,"tree",2,802.00,"White Oak"
2081,1996,"tree",2,970.00,"Elm"
2081,1997,"tree",2,802.00,"White Oak"
2082,1996,"tree",2,544.00,"Green Ash"
2082,1997,"tree",2,951.00,"Basswood"
2083,1996,"tree",2,802.00,"White Oak"
2083,1997,"tree",2,544.00,"Green Ash"
2084,1996,"tree",2,833.00,"Northern Red Oak"
2084,1997,"tree",2,970.00,"Elm"
2085,1996,"tree",2,313.00,"Box Elder"
2085,1997,"tree",2,543.00,"Black Ash"
2086,1996,"tree",2,833.00,"Northern Red Oak"
2086,1997,"tree",2,318.00,"Sugar Maple"
2087,1996,"tree",2,951.00,"Basswood"
2087,1997,"tree",2,313.00,"Box Elder"
2088,1996,"tree",2,318.00,"Sugar Maple"
2088,1997,"tree",2,318.00,"Sugar Maple"
2089,1996,"tree",2,802.00,"White Oak"
2089,1997,"tree",2,318.00,"Sugar Maple"
2090,1996,"tree",2,833.00,"Northern Red Oak"
2090,1997,"tree",2,543.00,"Black Ash"
2091,1996,"tree",2,837.00,"Black Oak"
2091,1997,"tree",2,951.00,"Basswood"
2092,1996,"tree",2,701.00,"Ironwood, Hop-Hornbeam"
2092,1997,"tree",2,970.00,"Elm"
2093,1996,"tree",2,746.00,"Quaking Aspen"
2093,1997,"tree",2,970.00,"Elm"
2094,1995,"tree",2,951.00,"Basswood"
2094,1996,"tree",2,701.00,"Ironwood, Hop-Hornbeam"
2094,1997,"tree",2,970.00,"Elm"
2095,1996,"tree",2,833.00,"Northern Red Oak"
2095,1997,"tree",2,951.00,"Basswood"
2096,1996,"tree",2,951.00,"Basswood"
2096,1997,"tree",2,951.00,"Basswood"
2097,1996,"tree",2,318.00,"Sugar Maple"
2097,1997,"tree",2,318.00,"Sugar Maple"
2098,1996,"tree",2,951.00,"Basswood"
2098,1997,"tree",2,802.00,"White Oak"
2099,1996,"tree",2,951.00,"Basswood"
2099,1997,"tree",2,951.00,"Basswood"
2100,1997,"tree",2,951.00,"Basswood"
2101,1997,"tree",2,951.00,"Basswood"
2102,1997,"tree",2,951.00,"Basswood"
2103,1997,"tree",2,543.00,"Black Ash"
2104,1997,"tree",2,543.00,"Black Ash"
2105,1997,"tree",2,951.00,"Basswood"
2106,1997,"tree",2,701.00,"Ironwood, Hop-Hornbeam"
2107,1997,"tree",2,970.00,"Elm"
2108,1997,"tree",2,802.00,"White Oak"
2109,1997,"tree",2,951.00,"Basswood"
2110,1997,"tree",2,318.00,"Sugar Maple"
2111,1997,"tree",2,313.00,"Box Elder"
2112,1997,"tree",2,833.00,"Northern Red Oak"
2113,1997,"tree",2,802.00,"White Oak"
2114,1997,"tree",2,951.00,"Basswood"
2115,1997,"tree",2,970.00,"Elm"
3003,1994,"tree",2,12.00,"Balsam Fir"
3004,1994,"tree",2,12.00,"Balsam Fir"
3005,1994,"tree",2,371.00,"Yellow Birch"
3006,1994,"tree",2,105.00,"Jack Pine"
3007,1994,"tree",2,12.00,"Balsam Fir"
3008,1994,"tree",2,743.00,"Bigtooth Aspen"
3015,1994,"tree",2,71.00,"Tamarack"
3016,1994,"tree",2,71.00,"Tamarack"
3019,1994,"tree",2,71.00,"Tamarack"
3020,1994,"tree",2,71.00,"Tamarack"
3021,1994,"tree",2,95.00,"Black Spruce"
3022,1994,"tree",2,12.00,"Balsam Fir"
3023,1994,"tree",2,12.00,"Balsam Fir"
3027,1994,"tree",2,12.00,"Balsam Fir"
3028,1994,"tree",2,12.00,"Balsam Fir"
3029,1994,"tree",2,375.00,"Paper Birch"
3030,2001,"tree",2,375.00,"Paper Birch"
3031,2001,"tree",2,746.00,"Quaking Aspen"
8000,1992,"tree",2,129.00,"White Pine"
8000,1993,"tree",2,375.00,"Paper Birch"
8000,1994,"tree",2,318.00,"Sugar Maple"
8001,1992,"tree",2,371.00,"Yellow Birch"
8001,1993,"tree",2,316.00,"Red Maple"
8002,1992,"tree",2,371.00,"Yellow Birch"
8002,1993,"tree",2,951.00,"Basswood"
8002,1994,"tree",2,951.00,"Basswood"
8003,1992,"tree",2,125.00,"Red Pine"
8003,1993,"tree",2,125.00,"Red Pine"
8003,1994,"tree",2,94.00,"White Spruce"
8004,1992,"tree",2,129.00,"White Pine"
8004,1993,"tree",2,125.00,"Red Pine"
8004,1994,"tree",2,125.00,"Red Pine"
8005,1992,"tree",2,129.00,"White Pine"
8005,1993,"tree",2,129.00,"White Pine"
8005,1994,"tree",2,125.00,"Red Pine"
8006,1992,"tree",2,951.00,"Basswood"
8006,1993,"tree",2,318.00,"Sugar Maple"
8006,1994,"tree",2,833.00,"Northern Red Oak"
8007,1992,"tree",2,833.00,"Northern Red Oak"
8007,1993,"tree",2,833.00,"Northern Red Oak"
8007,1994,"tree",2,318.00,"Sugar Maple"
8008,1992,"tree",2,833.00,"Northern Red Oak"
8008,1993,"tree",2,701.00,"Ironwood, Hop-Hornbeam"
8008,1994,"tree",2,318.00,"Sugar Maple"
8009,1992,"tree",2,543.00,"Black Ash"
8009,1993,"tree",2,543.00,"Black Ash"
8009,1994,"tree",2,129.00,"White Pine"
8010,1992,"tree",2,741.00,"Balsam Poplar"
8010,1993,"tree",2,746.00,"Quaking Aspen"
8010,1994,"tree",2,746.00,"Quaking Aspen"
8011,1992,"tree",2,543.00,"Black Ash"
8011,1993,"tree",2,241.00,"Northern White Cedar"
8011,1994,"tree",2,241.00,"Northern White Cedar"
8012,1992,"tree",2,833.00,"Northern Red Oak"
8012,1993,"tree",2,318.00,"Sugar Maple"
8012,1994,"tree",2,823.00,"Burr Oak"
8013,1992,"tree",2,741.00,"Balsam Poplar"
8013,1993,"tree",2,746.00,"Quaking Aspen"
8013,1994,"tree",2,743.00,"Bigtooth Aspen"
8014,1992,"tree",2,316.00,"Red Maple"
8014,1993,"tree",2,823.00,"Burr Oak"
8014,1994,"tree",2,823.00,"Burr Oak"
8015,1992,"tree",2,833.00,"Northern Red Oak"
8015,1993,"tree",2,375.00,"Paper Birch"
8015,1994,"tree",2,375.00,"Paper Birch"
8016,1992,"tree",2,316.00,"Red Maple"
8016,1993,"tree",2,823.00,"Burr Oak"
8016,1994,"tree",2,316.00,"Red Maple"
8017,1992,"tree",2,375.00,"Paper Birch"
