"site","year","type","abund_code","species_code","name"
178,1992,"tree",1,125.00,"Red Pine"
178,1993,"tree",1,125.00,"Red Pine"
178,1994,"tree",1,125.00,"Red Pine"
179,1991,"tree",1,125.00,"Red Pine"
179,1992,"tree",1,125.00,"Red Pine"
179,1993,"tree",1,125.00,"Red Pine"
179,1994,"tree",1,125.00,"Red Pine"
180,1991,"tree",1,125.00,"Red Pine"
180,1992,"tree",1,125.00,"Red Pine"
180,1993,"tree",1,125.00,"Red Pine"
180,1994,"tree",1,125.00,"Red Pine"
181,1991,"tree",1,125.00,"Red Pine"
181,1992,"tree",1,125.00,"Red Pine"
181,1993,"tree",1,125.00,"Red Pine"
181,1994,"tree",1,125.00,"Red Pine"
182,1991,"tree",1,125.00,"Red Pine"
182,1992,"tree",1,746.00,"Quaking Aspen"
182,1994,"tree",1,125.00,"Red Pine"
183,1991,"tree",1,125.00,"Red Pine"
183,1992,"tree",1,823.00,"Burr Oak"
183,1994,"tree",1,125.00,"Red Pine"
184,1991,"tree",1,125.00,"Red Pine"
184,1992,"tree",1,125.00,"Red Pine"
184,1994,"tree",1,125.00,"Red Pine"
185,1991,"tree",1,125.00,"Red Pine"
185,1992,"tree",1,746.00,"Quaking Aspen"
185,1994,"tree",1,125.00,"Red Pine"
186,1991,"tree",1,125.00,"Red Pine"
186,1992,"tree",1,125.00,"Red Pine"
186,1994,"tree",1,125.00,"Red Pine"
187,1991,"tree",1,746.00,"Quaking Aspen"
187,1992,"tree",1,316.00,"Red Maple"
187,1994,"tree",1,125.00,"Red Pine"
188,1991,"tree",1,125.00,"Red Pine"
188,1992,"tree",1,125.00,"Red Pine"
188,1994,"tree",1,125.00,"Red Pine"
189,1991,"tree",1,125.00,"Red Pine"
189,1992,"tree",1,125.00,"Red Pine"
189,1994,"tree",1,125.00,"Red Pine"
190,1991,"tree",1,125.00,"Red Pine"
190,1992,"tree",1,125.00,"Red Pine"
190,1994,"tree",1,125.00,"Red Pine"
191,1991,"tree",1,316.00,"Red Maple"
191,1992,"tree",1,316.00,"Red Maple"
191,1994,"tree",1,319.00,"Mountain Maple"
192,1991,"tree",1,833.00,"Northern Red Oak"
192,1992,"tree",1,823.00,"Burr Oak"
192,1994,"tree",1,802.00,"White Oak"
193,1991,"tree",1,316.00,"Red Maple"
193,1992,"tree",1,316.00,"Red Maple"
193,1994,"tree",1,125.00,"Red Pine"
194,1991,"tree",1,746.00,"Quaking Aspen"
194,1992,"tree",1,125.00,"Red Pine"
194,1993,"tree",1,105.00,"Jack Pine"
194,1994,"tree",1,746.00,"Quaking Aspen"
195,1991,"tree",1,746.00,"Quaking Aspen"
195,1992,"tree",1,105.00,"Jack Pine"
195,1993,"tree",1,105.00,"Jack Pine"
195,1994,"tree",1,105.00,"Jack Pine"
196,1991,"tree",1,746.00,"Quaking Aspen"
196,1992,"tree",1,125.00,"Red Pine"
196,1993,"tree",1,105.00,"Jack Pine"
196,1994,"tree",1,746.00,"Quaking Aspen"
197,1991,"tree",1,125.00,"Red Pine"
197,1992,"tree",1,125.00,"Red Pine"
197,1993,"tree",1,125.00,"Red Pine"
197,1994,"tree",1,105.00,"Jack Pine"
198,1991,"tree",1,125.00,"Red Pine"
198,1992,"tree",1,105.00,"Jack Pine"
198,1993,"tree",1,105.00,"Jack Pine"
198,1994,"tree",1,105.00,"Jack Pine"
199,1991,"tree",1,105.00,"Jack Pine"
199,1992,"tree",1,105.00,"Jack Pine"
199,1993,"tree",1,105.00,"Jack Pine"
199,1994,"tree",1,105.00,"Jack Pine"
200,1991,"tree",1,125.00,"Red Pine"
200,1992,"tree",1,125.00,"Red Pine"
200,1993,"tree",1,125.00,"Red Pine"
200,1994,"tree",1,746.00,"Quaking Aspen"
201,1991,"tree",1,125.00,"Red Pine"
201,1992,"tree",1,105.00,"Jack Pine"
201,1993,"tree",1,125.00,"Red Pine"
201,1994,"tree",1,125.00,"Red Pine"
202,1991,"tree",1,105.00,"Jack Pine"
202,1992,"tree",1,105.00,"Jack Pine"
202,1993,"tree",1,105.00,"Jack Pine"
202,1994,"tree",1,129.00,"White Pine"
203,1991,"tree",1,105.00,"Jack Pine"
203,1992,"tree",1,105.00,"Jack Pine"
203,1993,"tree",1,105.00,"Jack Pine"
203,1994,"tree",1,105.00,"Jack Pine"
204,1991,"tree",1,746.00,"Quaking Aspen"
204,1992,"tree",1,125.00,"Red Pine"
204,1993,"tree",1,125.00,"Red Pine"
204,1994,"tree",1,746.00,"Quaking Aspen"
205,1991,"tree",1,746.00,"Quaking Aspen"
205,1992,"tree",1,746.00,"Quaking Aspen"
205,1993,"tree",1,746.00,"Quaking Aspen"
205,1994,"tree",1,823.00,"Burr Oak"
206,1991,"tree",1,105.00,"Jack Pine"
206,1992,"tree",1,105.00,"Jack Pine"
206,1993,"tree",1,105.00,"Jack Pine"
206,1994,"tree",1,802.00,"White Oak"
206,2001,"tree",1,833.00,"Northern Red Oak"
207,1991,"tree",1,105.00,"Jack Pine"
207,1992,"tree",1,105.00,"Jack Pine"
207,1993,"tree",1,105.00,"Jack Pine"
207,1994,"tree",1,802.00,"White Oak"
207,2001,"tree",1,125.00,"Red Pine"
208,1991,"tree",1,125.00,"Red Pine"
208,1992,"tree",1,105.00,"Jack Pine"
208,1993,"tree",1,105.00,"Jack Pine"
208,1994,"tree",1,125.00,"Red Pine"
208,2001,"tree",1,125.00,"Red Pine"
209,1991,"tree",1,105.00,"Jack Pine"
209,1992,"tree",1,105.00,"Jack Pine"
209,1993,"tree",1,105.00,"Jack Pine"
209,1994,"tree",1,105.00,"Jack Pine"
209,2001,"tree",1,125.00,"Red Pine"
210,1991,"tree",1,105.00,"Jack Pine"
210,1992,"tree",1,105.00,"Jack Pine"
210,1993,"tree",1,125.00,"Red Pine"
210,1994,"tree",1,105.00,"Jack Pine"
210,2001,"tree",1,125.00,"Red Pine"
211,1991,"tree",1,105.00,"Jack Pine"
211,1992,"tree",1,125.00,"Red Pine"
211,1993,"tree",1,105.00,"Jack Pine"
211,1994,"tree",1,105.00,"Jack Pine"
211,2001,"tree",1,125.00,"Red Pine"
212,1991,"tree",1,105.00,"Jack Pine"
212,1992,"tree",1,105.00,"Jack Pine"
212,1993,"tree",1,125.00,"Red Pine"
212,1994,"tree",1,105.00,"Jack Pine"
212,2001,"tree",1,125.00,"Red Pine"
213,1991,"tree",1,105.00,"Jack Pine"
213,1992,"tree",1,125.00,"Red Pine"
213,1993,"tree",1,105.00,"Jack Pine"
213,1994,"tree",1,105.00,"Jack Pine"
213,2001,"tree",1,125.00,"Red Pine"
214,1991,"tree",1,105.00,"Jack Pine"
214,1992,"tree",1,125.00,"Red Pine"
214,1993,"tree",1,105.00,"Jack Pine"
214,1994,"tree",1,105.00,"Jack Pine"
214,2001,"tree",1,129.00,"White Pine"
215,1991,"tree",1,105.00,"Jack Pine"
215,1992,"tree",1,125.00,"Red Pine"
215,1993,"tree",1,105.00,"Jack Pine"
215,1994,"tree",1,105.00,"Jack Pine"
215,2001,"tree",1,125.00,"Red Pine"
216,1991,"tree",1,746.00,"Quaking Aspen"
216,1992,"tree",1,125.00,"Red Pine"
216,1993,"tree",1,105.00,"Jack Pine"
216,1994,"tree",1,125.00,"Red Pine"
216,2001,"tree",1,125.00,"Red Pine"
217,1991,"tree",1,105.00,"Jack Pine"
217,1992,"tree",1,105.00,"Jack Pine"
217,1993,"tree",1,105.00,"Jack Pine"
217,2001,"tree",1,125.00,"Red Pine"
218,1991,"tree",1,105.00,"Jack Pine"
218,1992,"tree",1,105.00,"Jack Pine"
218,1994,"tree",1,823.00,"Burr Oak"
219,1991,"tree",1,105.00,"Jack Pine"
219,1992,"tree",1,105.00,"Jack Pine"
219,1994,"tree",1,105.00,"Jack Pine"
220,1991,"tree",1,105.00,"Jack Pine"
220,1992,"tree",1,105.00,"Jack Pine"
220,1994,"tree",1,105.00,"Jack Pine"
221,1991,"tree",1,105.00,"Jack Pine"
221,1992,"tree",1,105.00,"Jack Pine"
221,1994,"tree",1,105.00,"Jack Pine"
222,1991,"tree",1,105.00,"Jack Pine"
222,1992,"tree",1,105.00,"Jack Pine"
222,1994,"tree",1,105.00,"Jack Pine"
223,1991,"tree",1,125.00,"Red Pine"
223,1992,"tree",1,105.00,"Jack Pine"
223,1994,"tree",1,105.00,"Jack Pine"
224,1991,"tree",1,105.00,"Jack Pine"
224,1992,"tree",1,105.00,"Jack Pine"
224,1994,"tree",1,105.00,"Jack Pine"
225,1991,"tree",1,746.00,"Quaking Aspen"
225,1992,"tree",1,105.00,"Jack Pine"
225,1994,"tree",1,746.00,"Quaking Aspen"
226,1991,"tree",1,125.00,"Red Pine"
