"fstype","fstypename","fine3","newname","age","age_class","age2","upl_low","broad","broad2","con","con_decid_mixed","decid","fine1","fine2"
"716","Ash/Elm/Red maple","aem pole","Ash/Elm/Red maple","pole","pole","non-regen","low","lowl decid","lowl decid","not conif","decid","decid","lowl decid","aem"
"857","Sugar maple","maple saw","Sugar maple","saw","saw","non-regen","upl","upl decid","upl decid","not conif","decid","decid","maple","maple"
"858","Sugar maple","maple saw","Sugar maple","saw","saw","non-regen","upl","upl decid","upl decid","not conif","decid","decid","maple","maple"
"859","Sugar maple","maple saw","Sugar maple","saw","saw","non-regen","upl","upl decid","upl decid","not conif","decid","decid","maple","maple"
"901","Aspen/Paper Birch",,"Aspen/Paper Birch","regeneration",,,,,"upl decid regen",,,,,
"902","Aspen/Paper Birch",,"Aspen/Paper Birch","regeneration",,,,,"upl decid regen",,,,,
"903","Aspen/Paper Birch",,"Aspen/Paper Birch","regeneration",,,,,"upl decid regen",,,,,
"904","Aspen/Paper Birch","ab pole","Aspen/Paper Birch","pole","pole","non-regen","upl","upl decid","upl decid","not conif","decid","decid","ab","ab"
"905","Aspen/Paper Birch","ab pole","Aspen/Paper Birch","pole","pole","non-regen","upl","upl decid","upl decid","not conif","decid","decid","ab","ab"
"957","Aspen/White spruce","fab saw","Aspen/White spruce","saw","saw","non-regen","upl","upl mixed","upl mixed","conif","mixed","decid","fab","fab"
"958","Aspen/White spruce","fab saw","Aspen/White spruce","saw","saw","non-regen","upl","upl mixed","upl mixed","conif","mixed","decid","fab","fab"
"959","Aspen/White spruce","fab saw","Aspen/White spruce","saw","saw","non-regen","upl","upl mixed","upl mixed","conif","mixed","decid","fab","fab"
"970","Lowland brush",,"Lowland brush",,,,,,"not used",,,,,
"971","Lowland brush",,"Lowland brush",,,,,,"not used",,,,,
"980","Upland brush",,"Upland brush",,,,,,"not used",,,,,
"981","Upland brush",,"Upland brush",,,,,,"not used",,,,,
"990","Open",,"Open",,,,,,"not used",,,,,
"991","Open",,"Open",,,,,,"not used",,,,,
"000","Not Used",,"Not Used",,,,,,"not used",,,,,
"620","Sedge",,"Sedge",,,,,,"not used",,,,,
"CSA941","Lowland hardwoods",,"Lowland hardwoods",,,,,,"lowl decid",,,,,
"CSA951","Lowland hardwoods",,"Lowland hardwoods",,,,,,"lowl decid",,,,,
"CSA952","Lowland hardwoods",,"Lowland hardwoods",,,,,,"lowl decid",,,,,
"CSA953","Lowland hardwoods",,"Lowland hardwoods",,,,,,"lowl decid",,,,,
"CSA954","Lowland hardwoods",,"Lowland hardwoods",,,,,,"lowl decid",,,,,
"CSA955","Lowland hardwoods",,"Lowland hardwoods",,,,,,"lowl decid",,,,,
"CSA961","Lowland hardwoods",,"Lowland hardwoods",,,,,,"lowl decid",,,,,
"CSA962","Lowland hardwoods",,"Lowland hardwoods",,,,,,"lowl decid",,,,,
"CSA964","Lowland hardwoods",,"Lowland hardwoods",,,,,,"lowl decid",,,,,
"CSA972","Lowland hardwoods",,"Lowland hardwoods",,,,,,"lowl decid",,,,,
"CSA973","Lowland hardwoods",,"Lowland hardwoods",,,,,,"lowl decid",,,,,
"CSA982","Lowland hardwoods",,"Lowland hardwoods",,,,,,"lowl decid",,,,,
"CSA2042","Northern hardwoods",,"Northern hardwoods",,,,,,"upl decid",,,,,
"CSA2051","Northern hardwoods",,"Northern hardwoods",,,,,,"upl decid",,,,,
"CSA2053","Northern hardwoods",,"Northern hardwoods",,,,,,"upl decid",,,,,
"CSA2054","Northern hardwoods",,"Northern hardwoods",,,,,,"upl decid",,,,,
"CSA2056","Northern hardwoods",,"Northern hardwoods",,,,,,"upl decid",,,,,
"CSA2057","Northern hardwoods",,"Northern hardwoods",,,,,,"upl decid",,,,,
"CSA2061","Northern hardwoods",,"Northern hardwoods",,,,,,"upl decid",,,,,
"CSA2062","Northern hardwoods",,"Northern hardwoods",,,,,,"upl decid",,,,,
"CSA2063","Northern hardwoods",,"Northern hardwoods",,,,,,"upl decid",,,,,
"CSA2064","Northern hardwoods",,"Northern hardwoods",,,,,,"upl decid",,,,,
"CSA2073","Northern hardwoods",,"Northern hardwoods",,,,,,"upl decid",,,,,
"CSA2074","Northern hardwoods",,"Northern hardwoods",,,,,,"upl decid",,,,,
"CSA2075","Northern hardwoods",,"Northern hardwoods",,,,,,"upl decid",,,,,
"CSA3000","Oak",,"Oak",,,,,,"upl decid",,,,,
"CSA3042","Oak",,"Oak",,,,,,"upl decid",,,,,
"CSA3043","Oak",,"Oak",,,,,,"upl decid",,,,,
"CSA3044","Oak",,"Oak",,,,,,"upl decid",,,,,
"CSA3051","Oak",,"Oak",,,,,,"upl decid",,,,,
"CSA3052","Oak",,"Oak",,,,,,"upl decid",,,,,
"CSA3053","Oak",,"Oak",,,,,,"upl decid",,,,,
"CSA3054","Oak",,"Oak",,,,,,"upl decid",,,,,
"CSA3055","Oak",,"Oak",,,,,,"upl decid",,,,,
"CSA3056","Oak",,"Oak",,,,,,"upl decid",,,,,
"CSA3057","Oak",,"Oak",,,,,,"upl decid",,,,,
