"forest","standunique","site"
9090.00,507.00,546
9090.00,507.00,545
9090.00,508.00,551
9090.00,508.00,553
9090.00,510.00,559
9090.00,510.00,560
9090.00,511.00,557
9090.00,511.00,558
9090.00,512.00,563
9090.00,512.00,565
9090.00,513.00,843
9090.00,513.00,844
9090.00,514.00,838
9090.00,514.00,836
9090.00,515.00,835
9090.00,515.00,834
9090.00,516.00,841
9090.00,516.00,839
9090.00,517.00,892
9090.00,517.00,890
9090.00,518.00,883
9090.00,518.00,882
9090.00,519.00,886
9090.00,519.00,884
9090.00,520.00,888
9090.00,520.00,887
9040.00,1131.00,1482
9040.00,1132.00,1483
9040.00,1133.00,1484
9040.00,1134.00,1485
9040.00,1135.00,1486
9040.00,1136.00,1487
9040.00,1137.00,1488
9040.00,1141.00,1492
9040.00,1138.00,1489
9040.00,1139.00,1490
9040.00,1140.00,1491
9040.00,1142.00,1493
9040.00,1143.00,1494
9040.00,1120.00,1471
9040.00,1127.00,1478
9040.00,1121.00,1472
9040.00,1128.00,1479
9040.00,1130.00,1481
9040.00,1123.00,1474
9040.00,1126.00,1477
9040.00,1124.00,1475
9040.00,1125.00,1476
9040.00,1129.00,1480
9040.00,1148.00,1667
9040.00,1149.00,1668
9040.00,1150.00,1669
9040.00,1151.00,1670
9040.00,1152.00,1671
9040.00,1153.00,1672
9040.00,1031.00,1221
9040.00,1033.00,1223
9040.00,1034.00,1224
9040.00,1035.00,1225
9040.00,1036.00,1226
9040.00,1043.00,1233
9040.00,1044.00,1234
9040.00,1045.00,1235
9040.00,1046.00,1236
9040.00,1047.00,1237
9040.00,1048.00,1238
9040.00,1038.00,1228
9040.00,1039.00,1229
9040.00,1037.00,1227
9040.00,1040.00,1230
9040.00,1041.00,1231
9040.00,1144.00,1501
9040.00,1145.00,1502
9040.00,1146.00,1503
9040.00,1147.00,1504
9040.00,1171.00,1694
9040.00,1173.00,1696
9040.00,1174.00,1697
9040.00,1176.00,1699
9040.00,1175.00,1698
9040.00,1108.00,1459
9040.00,1117.00,1468
9040.00,1119.00,1470
9040.00,1114.00,1465
9040.00,1109.00,1460
9040.00,1110.00,1461
9040.00,1112.00,1463
9040.00,1115.00,1466
9040.00,1116.00,1467
9040.00,1118.00,1469
9040.00,1049.00,1239
9040.00,1050.00,1240
9040.00,1051.00,1241
9040.00,1052.00,1242
9040.00,1053.00,1243
9040.00,1054.00,1244
9040.00,1055.00,1245
9040.00,1056.00,1246
9040.00,1057.00,1247
9040.00,1058.00,1248
9040.00,1059.00,1249
9040.00,1060.00,1250
9040.00,1096.00,1447
9040.00,1097.00,1448
9040.00,1098.00,1449
9040.00,1099.00,1450
9040.00,1100.00,1451
9040.00,1101.00,1452
9040.00,1102.00,1453
9040.00,1103.00,1454
9040.00,1104.00,1455
9040.00,1105.00,1456
9040.00,1106.00,1457
9040.00,1107.00,1458
9040.00,1007.00,993
9040.00,1008.00,994
9040.00,1009.00,995
9040.00,1010.00,996
9040.00,1011.00,997
9040.00,1012.00,998
9040.00,1013.00,999
9040.00,1014.00,1201
9040.00,1015.00,1202
9040.00,1016.00,1203
9040.00,1017.00,1204
9040.00,1018.00,1205
9040.00,1389.00,8000
9040.00,1390.00,8001
9040.00,1391.00,8002
9040.00,1392.00,8003
9040.00,1393.00,8004
9040.00,1394.00,8005
9040.00,1395.00,8006
9040.00,1396.00,8007
9040.00,1397.00,8008
9040.00,1398.00,8009
9040.00,1399.00,8010
9040.00,1400.00,8011
9040.00,1165.00,1685
9040.00,1166.00,1686
9040.00,1167.00,1687
9040.00,1168.00,1688
9040.00,1170.00,1690
9040.00,1001.00,987
9040.00,1002.00,988
9040.00,1003.00,989
9040.00,1169.00,1689
9040.00,1004.00,990
9040.00,1005.00,991
9040.00,1006.00,992
9040.00,1085.00,1436
9040.00,1086.00,1437
9040.00,1095.00,1446
9040.00,1087.00,1438
9040.00,1089.00,1440
9040.00,1091.00,1442
9040.00,1092.00,1443
9040.00,1093.00,1444
9040.00,1088.00,1439
9040.00,1094.00,1445
9040.00,1090.00,1441
9040.00,1073.00,1424
9040.00,1075.00,1426
9040.00,1076.00,1427
9040.00,1077.00,1428
9040.00,1078.00,1429
9040.00,1079.00,1430
9040.00,1080.00,1431
9040.00,1082.00,1433
9040.00,1083.00,1434
9040.00,1084.00,1435
9040.00,1081.00,1432
9040.00,1154.00,1673
9040.00,1155.00,1674
9040.00,1156.00,1675
9040.00,1157.00,1676
9040.00,1158.00,1677
9040.00,1159.00,1678
9040.00,1160.00,1679
9040.00,1161.00,1680
9040.00,1162.00,1681
9040.00,1163.00,1682
9040.00,1164.00,1683
9040.00,1061.00,1251
9040.00,1062.00,1252
9040.00,1063.00,1253
9040.00,1064.00,1254
9040.00,1065.00,1255
9040.00,1066.00,1256
9040.00,1067.00,1257
9040.00,1068.00,1258
9040.00,1069.00,1259
9040.00,1070.00,1260
9040.00,1071.00,1261
9040.00,1072.00,1262
9040.00,1413.00,8024
9040.00,1414.00,8025
9040.00,1415.00,8026
9040.00,1019.00,1209
9040.00,1020.00,1210
9040.00,1021.00,1211
9040.00,1023.00,1213
9040.00,1024.00,1214
9040.00,1025.00,1215
9040.00,1026.00,1216
9040.00,1027.00,1217
9040.00,1028.00,1218
9040.00,1029.00,1219
9040.00,1030.00,1220
9040.00,1401.00,8012
9040.00,1402.00,8013
9040.00,1403.00,8014
9040.00,1404.00,8015
9040.00,1405.00,8016
9040.00,1406.00,8017
9040.00,1407.00,8018
9040.00,1408.00,8019
9040.00,1409.00,8020
9040.00,1410.00,8021
9040.00,1412.00,8023
