"site","x_coord","y_coord"
637.00,549589.75,5326408.00
599.00,541433.87,5333721.50
600.00,541219.12,5333684.00
601.00,541001.93,5333640.00
591.00,543824.62,5333230.50
592.00,543634.56,5333174.50
590.00,544033.81,5333195.00
595.00,541539.00,5332827.00
594.00,541721.12,5333014.00
593.00,541959.25,5333168.00
596.00,542239.43,5332995.50
597.00,542407.56,5333159.00
598.00,542575.68,5333266.00
696.00,540770.50,5334612.00
695.00,540622.31,5334729.50
697.00,540664.87,5334927.50
694.00,540933.37,5334172.00
693.00,541141.68,5334098.50
692.00,541393.25,5334116.50
686.00,541810.06,5335034.00
687.00,541810.06,5334824.00
688.00,541849.00,5334623.00
689.00,541945.00,5334449.00
690.00,542007.93,5334257.50
691.00,542067.93,5334047.50
613.00,540769.56,5337397.50
603.00,541480.18,5337679.50
602.00,541411.50,5337885.50
604.00,541267.00,5337705.50
607.00,541428.06,5337247.50
606.00,541586.81,5337429.50
605.00,541384.31,5337525.50
609.00,540998.31,5337371.00
608.00,541201.81,5337374.00
610.00,539619.75,5337566.00
611.00,539616.18,5337346.50
612.00,539619.75,5337130.00
709.00,542138.00,5344109.50
708.00,541929.37,5344043.00
706.00,541193.43,5343938.50
705.00,541080.43,5344098.00
704.00,540964.56,5344283.50
700.00,540892.12,5344480.50
699.00,540666.12,5344480.50
698.00,540454.62,5344474.50
701.00,540654.56,5344692.00
702.00,540805.18,5344842.50
703.00,540955.87,5344692.00
707.00,541749.75,5343953.00
770.00,531764.87,5345824.00
771.00,531555.06,5345828.50
772.00,531349.68,5345828.50
773.00,530630.93,5345462.50
774.00,530684.50,5345275.00
775.00,530689.00,5345074.00
778.00,528935.12,5346835.00
776.00,529154.68,5346747.50
777.00,529273.25,5346563.00
779.00,527229.25,5346568.00
780.00,527034.75,5346462.00
781.00,526827.00,5346448.50
760.00,500276.00,5340905.00
758.00,500487.28,5340730.00
759.00,500705.84,5340715.50
761.00,500283.28,5340402.50
762.00,500385.28,5340213.00
763.00,500596.56,5340286.00
764.00,500742.25,5339674.00
765.00,500531.00,5339623.00
766.00,500319.71,5339615.50
769.00,500785.96,5339105.50
768.00,500589.28,5339011.00
767.00,500392.56,5338916.00
647.00,547621.12,5323779.50
648.00,547798.56,5323882.00
649.00,547969.18,5324005.00
653.00,547675.75,5324005.00
654.00,547559.75,5324182.50
655.00,547348.18,5324189.00
656.00,547163.93,5324278.00
657.00,546972.81,5324175.50
658.00,546761.25,5324107.00
660.00,545341.75,5323138.00
661.00,545410.00,5322906.00
659.00,545594.25,5323029.00
749.00,509680.84,5344143.00
750.00,509458.46,5344152.50
751.00,509255.00,5344157.50
752.00,509359.09,5343939.50
753.00,509363.84,5343722.00
754.00,509368.56,5343504.50
755.00,509212.43,5343069.00
756.00,509188.78,5342856.00
757.00,509396.96,5342913.00
736.00,502662.65,5345231.00
735.00,502723.28,5345033.00
734.00,502822.46,5344840.00
737.00,503020.87,5344630.50
738.00,503224.78,5344713.00
739.00,503340.50,5344900.50
740.00,503075.96,5344344.00
741.00,503026.37,5344184.00
742.00,502850.03,5344256.00
733.00,504756.81,5343627.50
731.00,504541.87,5343655.00
732.00,504563.93,5343456.50
729.00,503533.37,5342988.00
730.00,503318.46,5343043.50
728.00,503527.87,5343203.00
727.00,504029.37,5343357.50
726.00,503814.43,5343368.50
725.00,503842.00,5343567.00
723.00,503974.25,5343743.00
724.00,504012.84,5343952.50
722.00,503770.34,5343743.00
743.00,503384.59,5343743.00
744.00,503219.25,5343616.50
745.00,503053.93,5343484.00
746.00,509535.12,5344515.00
747.00,509771.75,5344510.50
748.00,509728.15,5344323.00
640.00,548795.31,5326833.00
3006.00,547491.31,5331736.50
3007.00,547289.93,5331637.00
3008.00,547478.56,5331522.50
3027.00,503063.21,5345019.50
3028.00,503058.09,5345232.00
3029.00,503052.96,5345455.00
3021.00,573571.93,5327109.50
3022.00,573555.75,5326915.00
3023.00,573555.75,5326704.50
3011.00,526796.62,5345523.00
3012.00,526796.62,5345741.50
3013.00,527017.75,5345733.00
1689.00,550599.37,5146793.00
1688.00,550799.06,5146779.50
1687.00,550766.00,5146566.50
1686.00,550559.75,5146559.00
987.00,550454.43,5146063.00
988.00,550639.81,5145964.50
989.00,550890.25,5145988.50
1503.00,548638.56,5142791.00
1504.00,548513.25,5142460.50
1694.00,548359.00,5142239.50
1695.00,548525.75,5142088.50
1696.00,548501.62,5141904.00
1697.00,548317.93,5141763.50
1699.00,548269.31,5141521.50
1501.00,548843.12,5143248.00
990.00,549090.37,5143486.00
991.00,549248.62,5143662.00
992.00,549351.18,5143797.00
1432.00,540357.56,5105088.00
1433.00,540280.37,5105276.00
1434.00,540072.06,5105213.00
1428.00,541215.06,5105113.00
1429.00,541220.25,5105369.00
1430.00,540985.18,5105385.50
1431.00,540953.68,5105140.50
1678.00,542939.18,5101232.00
1679.00,543110.87,5101069.50
1680.00,543236.50,5100891.50
1681.00,543281.75,5100644.00
1683.00,542960.81,5100848.00
1446.00,537856.00,5106543.00
1442.00,537312.37,5106468.50
1443.00,537108.87,5106500.50
1444.00,537390.00,5106264.00
1445.00,537159.93,5106250.00
1424.00,540940.75,5103969.00
1425.00,540895.87,5103764.00
1426.00,540768.93,5103845.50
1427.00,540808.43,5103581.00
1435.00,540089.93,5105043.00
1677.00,542297.87,5101943.50
1676.00,542236.31,5102220.00
1436.00,540398.81,5108054.50
1437.00,540461.37,5107844.50
1438.00,540701.31,5107838.00
1439.00,540955.18,5107839.00
1440.00,541120.37,5107961.50
1441.00,541166.62,5108317.50
1493.00,455468.21,5088782.50
1494.00,455676.53,5088754.00
1490.00,458298.46,5088706.50
1489.00,457680.31,5088509.00
1488.00,457895.12,5088477.50
1480.00,461489.84,5081052.50
1479.00,461530.31,5080831.00
1477.00,461610.87,5080552.00
1478.00,461397.15,5080569.00
1474.00,461126.46,5080627.50
1471.00,460549.34,5077320.00
1481.00,460365.56,5077319.00
1227.00,460932.96,5094959.00
1229.00,460442.21,5095161.50
1230.00,460402.37,5094934.00
1231.00,460589.00,5094838.50
1232.00,460606.93,5094986.00
1233.00,462452.06,5094951.00
1234.00,462372.53,5094778.50
1235.00,462183.03,5094595.00
1236.00,461946.53,5094544.00
1237.00,461795.43,5094712.50
1238.00,461610.46,5094777.50
1482.00,454212.00,5088813.50
1486.00,455045.37,5089295.00
1472.00,461315.96,5081198.00
1667.00,457392.46,5099342.00
1223.00,456709.15,5100610.00
1483.00,454414.56,5088878.50
1484.00,454671.25,5088951.50
1485.00,454823.81,5089169.50
1487.00,455294.65,5089485.50
1473.00,461298.71,5081095.00
1475.00,461331.28,5080873.00
1476.00,461170.87,5080802.50
1668.00,457396.93,5099555.50
1669.00,457585.18,5099666.00
1670.00,457730.37,5100028.00
1672.00,457540.87,5100117.50
1671.00,457360.40,5100126.00
1224.00,456625.00,5100811.00
1226.00,456361.09,5100764.00
1209.00,518335.93,5077650.00
1210.00,518496.46,5077739.00
1211.00,518678.68,5077858.50
1212.00,518776.09,5077762.00
1213.00,518703.09,5077662.00
1214.00,518494.46,5077547.50
1215.00,518401.43,5077379.00
1216.00,518356.59,5076949.50
1217.00,518539.40,5076897.50
1218.00,518774.78,5076827.50
1220.00,513599.18,5078682.00
1219.00,513664.59,5078462.00
8012.00,521164.25,5088290.50
8013.00,521275.43,5088548.00
8014.00,521404.00,5088355.50
8015.00,525337.18,5088985.00
8016.00,525443.87,5088813.00
8017.00,525585.81,5088538.00
8018.00,533018.06,5089529.00
8019.00,534013.50,5091656.50
8020.00,534272.06,5091903.00
8000.00,549673.25,5168197.00
8001.00,549608.62,5168251.50
8007.00,552116.43,5165390.50
8008.00,551867.00,5165585.50
8009.00,550581.87,5165254.00
8010.00,550609.25,5165604.00
8011.00,550550.50,5165868.50
8002.00,549740.93,5168343.00
8003.00,554050.50,5166932.50
8004.00,553963.87,5167040.50
8005.00,553877.87,5167222.00
8006.00,552372.06,5165295.50
1242.00,517094.09,5175828.00
1243.00,517095.65,5176089.50
1244.00,517089.34,5176420.00
1239.00,517904.06,5175532.50
1240.00,517848.59,5175294.00
1241.00,517887.75,5175031.50
1465.00,516185.37,5164578.00
1464.00,516169.65,5164734.00
1463.00,516310.43,5165157.50
1462.00,516463.15,5165155.00
1459.00,517079.68,5165231.00
1468.00,517379.21,5165175.50
1247.00,514573.40,5175837.00
1245.00,514587.34,5175634.50
1246.00,514326.40,5175578.00
1447.00,506785.81,5175801.00
1448.00,506478.59,5175816.00
1449.00,506276.09,5175744.00
1450.00,505899.31,5175716.00
1451.00,505239.81,5175455.00
1452.00,504930.40,5175547.00
1453.00,504576.00,5175692.00
1457.00,504451.81,5175506.00
1458.00,504143.09,5175638.00
1454.00,504428.31,5175884.00
1455.00,504335.40,5176062.00
1456.00,504178.81,5176081.00
1685.00,550348.50,5146560.50
1690.00,550413.18,5146819.00
1698.00,548223.50,5141649.00
1675.00,542402.37,5102474.50
1673.00,542646.50,5102771.00
8023.00,535331.37,5092116.00
8021.00,534878.06,5092120.50
8022.00,535104.62,5092116.00
1221.00,457161.18,5100211.00
1222.00,456926.43,5100361.50
1225.00,456507.00,5100865.50
1228.00,460569.90,5095357.00
1491.00,458444.06,5088861.50
1251.00,512523.31,5095196.00
1252.00,512403.68,5095479.00
1253.00,512096.31,5095652.00
1255.00,511542.62,5096567.00
1254.00,511660.56,5096320.50
1256.00,511282.75,5096721.00
1257.00,511116.31,5097052.50
1258.00,511007.65,5097221.50
1259.00,510947.46,5097443.50
8026.00,511884.31,5096718.00
1262.00,512095.18,5096152.50
1261.00,512007.31,5096366.50
1260.00,511981.75,5096564.50
8024.00,511636.65,5096929.00
8025.00,511842.75,5096836.00
132.00,374961.78,5218503.00
31.00,379107.46,5206111.00
32.00,379065.87,5205876.50
33.00,379105.28,5205673.00
40.00,380146.62,5208629.50
44.00,379842.56,5208326.00
45.00,379991.09,5208278.00
46.00,378865.25,5208625.00
47.00,378738.68,5208794.50
48.00,378672.59,5208544.50
91.00,383642.84,5232719.50
92.00,383809.59,5232797.00
93.00,383991.84,5232871.50
319.00,393790.06,5256158.50
320.00,393998.62,5256245.50
321.00,393953.53,5256484.00
322.00,393810.15,5256637.50
323.00,394001.62,5256712.50
324.00,394134.03,5256588.50
95.00,380958.90,5227031.50
97.00,381274.28,5226940.00
98.00,381455.25,5226899.50
99.00,381560.78,5227027.50
102.00,382122.31,5227369.50
103.00,382084.59,5226622.00
104.00,382049.34,5226532.50
105.00,382016.84,5226436.50
106.00,381124.18,5225079.50
107.00,381321.62,5225123.00
111.00,381670.43,5225637.50
73.00,382384.75,5220665.00
74.00,382398.28,5220835.00
75.00,382211.03,5221106.50
76.00,382134.59,5220893.00
80.00,382616.40,5220130.00
133.00,381794.65,5220519.50
134.00,381794.18,5220353.50
135.00,381690.56,5220407.50
25.00,445323.34,5263470.00
26.00,445179.65,5263136.50
27.00,445232.65,5263298.50
281.00,446640.25,5263128.50
282.00,446722.46,5263327.50
283.00,446439.28,5263025.50
284.00,446525.81,5262928.00
285.00,446671.93,5262925.50
286.00,446835.62,5262908.00
287.00,446734.62,5262564.50
288.00,446602.56,5262543.00
289.00,446375.65,5262576.00
389.00,416576.12,5222333.50
390.00,416401.18,5222361.00
391.00,416293.62,5222179.50
143.00,420321.40,5214706.50
144.00,420275.59,5214904.00
145.00,419498.28,5215054.00
146.00,419668.18,5214938.00
147.00,419506.37,5215224.00
148.00,420324.18,5215103.00
149.00,419489.90,5216156.50
150.00,419714.93,5216160.00
151.00,419649.50,5215956.50
152.00,419507.09,5217013.50
153.00,419809.28,5217008.50
154.00,420020.59,5216888.00
212.00,396294.93,5252321.00
213.00,396483.00,5252319.50
214.00,396674.37,5252319.50
215.00,396906.65,5252322.50
216.00,397128.65,5252382.50
217.00,397144.84,5252581.00
220.00,397608.75,5252366.50
221.00,397472.68,5252153.50
222.00,397415.81,5252033.00
223.00,397434.06,5251849.00
224.00,397990.37,5251824.50
225.00,397970.75,5251607.50
226.00,397703.87,5251580.00
227.00,397561.65,5251566.50
228.00,397397.21,5251555.00
229.00,397555.06,5251402.50
368.00,423694.84,5241245.50
369.00,423611.59,5241027.00
370.00,423470.03,5240822.50
372.00,422554.18,5240387.50
374.00,422359.12,5240507.50
375.00,422223.18,5240564.00
376.00,422239.81,5240368.50
15.00,453996.43,5278086.00
19.00,452271.75,5277182.50
20.00,452056.93,5277542.00
21.00,451988.90,5277761.50
22.00,454862.50,5277090.50
23.00,455204.50,5277149.00
24.00,455508.68,5277190.50
136.00,427086.50,5210705.50
137.00,427075.90,5210518.00
138.00,426998.59,5210374.50
377.00,418997.37,5205125.50
378.00,419183.15,5205126.00
379.00,419363.37,5205132.00
380.00,419524.46,5205211.50
381.00,419673.15,5205357.50
382.00,419488.71,5205518.50
383.00,419328.68,5205598.00
384.00,419242.31,5205736.50
385.00,419126.46,5205836.50
386.00,419005.12,5206018.50
387.00,418779.21,5206013.00
388.00,418566.43,5205895.00
905.00,435106.06,5209264.00
907.00,434899.71,5209624.00
908.00,434796.50,5210335.00
909.00,434583.90,5210492.50
